CODE,NAME
"C_33UEHN","Mershe Lande Ward"
"C_33UCGS","Burlingham Ward"
"C_33UFHR","Stalham and Sutton Ward"
"C_33UHJM","Cringleford Ward"
"C_33UCHF","Old Catton and Sprowston West Ward"
"C_33UFHE","Mundesley Ward"
"C_33UCGZ","Great Witchingham Ward"
"C_33UHJW","Mulbarton Ward"
"C_33UHHF","Ditchingham and Broome Ward"
"C_33UEJJ","Watlington Ward"
"C_33UHJJ","Beck Vale Ward"
"C_33UBJB","Upper Wensum Ward"
"C_33UBJF","Weeting Ward"
"C_33UBGZ","Dereham-Central Ward"
"C_33UEHH","Gaywood North Bank Ward"
"C_33UFHK","Priory Ward"
"C_33UCHN","Taverham South Ward"
"C_33UFHB","Hoveton Ward"
"C_33UBHP","Shipdham Ward"
"C_33UHJG","Town Ward"
"C_33UBHT","Taverner Ward"
"C_33UHGY","Brooke Ward"
"C_33UFHH","North Walsham West Ward"
"C_33UBJE","Wayland Ward"
"C_33UEHF","Gayton Ward"
"C_33UEHC","East Downham Ward"
"C_33UDGC","Central And Northgate Ward"
"C_33UCGU","Coltishall Ward"
"C_33UBGU","All Saints Ward"
"C_33UFHY","Waxham Ward"
"C_33UEGT","Airfield Ward"
"C_33UEJE","Upwell and Delph Ward"
"C_33UCHG","Plumstead Ward"
"C_33UBHK","Mid Forest Ward"
"C_33UDGL","Ormesby Ward"
"C_33UHJP","Diss Ward"
"C_33UBGY","Conifer Ward"
"C_33UHJL","Chedgrave and Thurton Ward"
"C_33UFGS","Corpusty Ward"
"C_33UDFY","Bradwell North Ward"
"C_33UHHY","Rockland Ward"
"C_33UEHT","Priory Ward"
"C_33UHHU","Northfields Ward"
"C_33UEJH","Walton Ward"
"C_33UBJG","West Guiltcross Ward"
"C_33UCHH","Reepham Ward"
"C_33UHJQ","Earsham Ward"
"C_33UFHC","Lancaster North Ward"
"C_33UHJS","Harleston Ward"
"C_33UHJF","Thurlton Ward"
"C_33UGFT","Catton Grove Ward"
"C_33UDFZ","Bradwell South and Hopton Ward"
"C_33UDGP","West Flegg Ward"
"C_33UCHD","Horsford and Felthorpe Ward"
"C_33UHJT","Hethersett  Ward"
"C_33UHHS","New Costessey Ward"
"C_33UBHY","Thetford-Guildhall Ward"
"C_33UEHU","Rudham Ward"
"C_33UEJL","Wiggenhall Ward"
"C_33UEJM","Wimbotsham with Fincham Ward"
"C_33UDGB","Caister South Ward"
"North Norfolk District","North Norfolk District"
"King's Lynn and West Norfolk District","King's Lynn and West Norfolk District"
"Breckland District","Breckland District"
"South Norfolk District","South Norfolk District"
"Great Yarmouth District","Great Yarmouth District"
"Norwich District","Norwich District"
"Broadland District","Broadland District"
"Sheringham","Sheringham"
"Hunstanton","Hunstanton"
"Mundesley","Mundesley"
"Fakenham","Fakenham"
"Aylsham","Aylsham"
"Happisburgh","Happisburgh"
"Stalham","Stalham"
"Bawdeswell","Bawdeswell"
"King's Lynn","King's Lynn"
"Guist","Guist"
"Hemsby","Hemsby"
"East Dereham","East Dereham"
"Norwich","Norwich"
"Stradsett","Stradsett"
"Outwell","Outwell"
"Wymondham","Wymondham"
"Great Yarmouth","Great Yarmouth"
"Southery","Southery"
"Mundford","Mundford"
"Harleston","Harleston"
"Dersingham","Dersingham"
"Heacham","Heacham"
"Snettisham","Snettisham"
"Downham Market","Downham Market"
"South Wootton","South Wootton"
"Docking","Docking"
"Wells-next-the-Sea","Wells-next-the-Sea"
"Cromer","Cromer"
"Holt","Holt"
"North Walsham","North Walsham"
"Sprowston","Sprowston"
"Hoveton","Hoveton"
"Caister-on-Sea","Caister-on-Sea"
"Acle","Acle"
"Coltishall","Coltishall"
"Swaffham","Swaffham"
"Necton","Necton"
"Narborough","Narborough"
"Attleborough","Attleborough"
"Thetford","Thetford"
"Larling","Larling"
"Watton","Watton"
"Brancaster","Brancaster"
"Blakeney","Blakeney"
"Hopton","Hopton"
"Haddiscoe","Haddiscoe"
"Loddon","Loddon"
"Diss","Diss"
"Scole","Scole"
"Long Stratton","Long Stratton"
"Poringland","Poringland"
"Methwold","Methwold"
